target_id,family,family_short,tier_id,tier_label,tier_name,scenario_id,scenario_tier,visibility,kind,difficulty,private_source,contract_source,steps,compiled_checks,component_action_refs,state_path_refs,page_refs,table_refs,event_refs,actor_refs,browser_steps,table_steps,upload_steps,relation_ops,browser_actions,step_modes,undeclared_symbols_total,compile_ok,compile_error,admissible
stayflow_concierge,Travel,Travel,tier_a,Tier A,Consumer,private_01_show_all_catalog_order,smoke,private,scoring,,local,local,4,39,3,0,0,1,0,0,0,1,0,,,,0,True,,True
stayflow_concierge,Travel,Travel,tier_a,Tier A,Consumer,private_02_kyoto_high_fee_quote,core,private,scoring,,local,local,2,43,2,2,0,0,0,0,0,0,0,equals,,,0,True,,True
stayflow_concierge,Travel,Travel,tier_a,Tier A,Consumer,private_03_addon_stack_recalculates_total,core,private,scoring,,local,local,4,57,4,4,0,0,0,0,0,0,0,equals,,,0,True,,True
stayflow_concierge,Travel,Travel,tier_a,Tier A,Consumer,private_04_flexible_cancel_on_kyoto_keeps_high_fee,core,private,scoring,,local,local,3,51,3,4,0,0,0,0,0,0,0,equals,,,0,True,,True
stayflow_concierge,Travel,Travel,tier_a,Tier A,Consumer,private_05_guest_email_normalizes,validation,private,scoring,,local,local,4,42,4,1,0,0,0,0,0,0,0,equals,,,0,True,,True
stayflow_concierge,Travel,Travel,tier_a,Tier A,Consumer,private_06_valid_guest_allows_hold,validation,private,scoring,,local,local,7,67,7,3,0,0,0,0,0,0,0,equals,,,0,True,,True
stayflow_concierge,Travel,Travel,tier_a,Tier A,Consumer,private_07_welcome50_only_for_busan,service,private,scoring,,local,local,5,56,5,4,0,0,0,0,0,0,0,equals,,,0,True,,True
stayflow_concierge,Travel,Travel,tier_a,Tier A,Consumer,private_08_bad_promo_rejected_without_credit,service,private,scoring,,local,local,5,56,5,4,0,0,0,0,0,0,0,equals,,,0,True,,True
stayflow_concierge,Travel,Travel,tier_a,Tier A,Consumer,private_09_second_promo_call_keeps_service_count,service,private,scoring,,local,local,7,62,5,1,0,0,0,0,0,0,0,equals,,,0,True,,True
stayflow_concierge,Travel,Travel,tier_a,Tier A,Consumer,private_10_manifest_upload_replaces_previous_rows,upload,private,scoring,,local,local,5,43,3,0,0,1,0,0,0,1,2,,,,0,True,,True
stayflow_concierge,Travel,Travel,tier_a,Tier A,Consumer,private_11_guest_cannot_confirm_held_booking,permission,private,scoring,,local,local,9,73,9,2,0,0,0,0,0,0,0,equals,,unauthorized,0,True,,True
stayflow_concierge,Travel,Travel,tier_a,Tier A,Consumer,private_12_agent_confirms_after_role_switch,permission,private,scoring,,local,local,10,75,10,2,0,0,0,0,0,0,0,equals,,,0,True,,True
stayflow_concierge,Travel,Travel,tier_a,Tier A,Consumer,private_13_reload_preserves_quote_and_route,persistence,private,scoring,,local,local,5,53,4,4,0,0,0,0,1,0,0,unchanged,reload,,0,True,,True
stayflow_concierge,Travel,Travel,tier_a,Tier A,Consumer,private_14_reload_preserves_manifest,persistence,private,scoring,,local,local,5,41,3,3,0,1,0,0,1,1,1,unchanged,reload,,0,True,,True
stayflow_concierge,Travel,Travel,tier_a,Tier A,Consumer,private_15_browser_back_restores_search_route,persistence,private,scoring,,local,local,5,37,3,1,2,0,0,0,2,0,0,equals,back,,0,True,,True
stayflow_concierge,Travel,Travel,tier_a,Tier A,Consumer,private_16_full_booking_with_manifest_and_agent,journey,private,scoring,,local,local,15,99,15,4,0,0,0,0,0,0,1,equals,,,0,True,,True
stayflow_concierge,Travel,Travel,tier_a,Tier A,Consumer,private_17_reset_clears_everything_after_long_flow,journey,private,scoring,,local,local,9,104,8,4,0,0,0,0,0,0,0,equals,,,0,True,,True
stayflow_concierge,Travel,Travel,tier_a,Tier A,Consumer,private_18_agent_role_persists_across_reload,persistence,private,scoring,,local,local,4,37,3,2,0,0,0,0,1,0,0,unchanged,reload,,0,True,,True
stayflow_concierge,Travel,Travel,tier_b,Tier B,Operational,private_01_show_all_catalog_order,smoke,private,scoring,A,local,local,4,47,3,0,0,1,0,0,0,1,0,,,,0,True,,True
stayflow_concierge,Travel,Travel,tier_b,Tier B,Operational,private_02_single_city_quote,service,private,scoring,A,local,local,4,66,4,4,0,0,0,0,0,0,0,equals,,,0,True,,True
stayflow_concierge,Travel,Travel,tier_b,Tier B,Operational,private_03_three_city_itinerary_prices,core,private,scoring,B,local,local,5,86,4,5,0,1,0,0,0,1,0,equals,,,0,True,,True
stayflow_concierge,Travel,Travel,tier_b,Tier B,Operational,private_04_three_city_all_addons,core,private,scoring,B,local,local,8,111,7,2,0,1,0,0,0,1,0,equals,,,0,True,,True
stayflow_concierge,Travel,Travel,tier_b,Tier B,Operational,private_05_remove_middle_leg_reprices_route,core,private,scoring,B,local,local,6,96,5,5,0,1,0,0,0,1,0,equals,,,0,True,,True
stayflow_concierge,Travel,Travel,tier_b,Tier B,Operational,private_06_multi120_two_city_with_addons,service,private,scoring,B,local,local,9,105,9,5,0,0,0,0,0,0,0,equals,,,0,True,,True
stayflow_concierge,Travel,Travel,tier_b,Tier B,Operational,private_07_grand200_three_city_with_addons,service,private,scoring,C,local,local,11,126,11,5,0,0,0,0,0,0,0,equals,,,0,True,,True
stayflow_concierge,Travel,Travel,tier_b,Tier B,Operational,private_08_bad_promo_rejected_without_credit,service,private,scoring,B,local,local,8,101,8,4,0,0,0,0,0,0,0,equals,,,0,True,,True
